# Unicode Emoji 17.0 机器可读版
# 生成日期: 2026-02-13
# 数据源: emoji-test.txt (官方17.0)
# 字段: 字符	码位序列	状态	版本	名称
# 行数: 包含 fully/minimally/unqualified/component，完全未过滤
🤵🏽	1F935 1F3FD	fully-qualified	E3.0	person in tuxedo: medium skin tone
🤵🏾	1F935 1F3FE	fully-qualified	E3.0	person in tuxedo: medium-dark skin tone
🤵🏿	1F935 1F3FF	fully-qualified	E3.0	person in tuxedo: dark skin tone
🤵‍♂️	1F935 200D 2642 FE0F	fully-qualified	E13.0	man in tuxedo
🤵‍♂	1F935 200D 2642	minimally-qualified	E13.0	man in tuxedo
🤵🏻‍♂️	1F935 1F3FB 200D 2642 FE0F	fully-qualified	E13.0	man in tuxedo: light skin tone
🤵🏻‍♂	1F935 1F3FB 200D 2642	minimally-qualified	E13.0	man in tuxedo: light skin tone
🤵🏼‍♂️	1F935 1F3FC 200D 2642 FE0F	fully-qualified	E13.0	man in tuxedo: medium-light skin tone
🤵🏼‍♂	1F935 1F3FC 200D 2642	minimally-qualified	E13.0	man in tuxedo: medium-light skin tone
🤵🏽‍♂️	1F935 1F3FD 200D 2642 FE0F	fully-qualified	E13.0	man in tuxedo: medium skin tone
🤵🏽‍♂	1F935 1F3FD 200D 2642	minimally-qualified	E13.0	man in tuxedo: medium skin tone
🤵🏾‍♂️	1F935 1F3FE 200D 2642 FE0F	fully-qualified	E13.0	man in tuxedo: medium-dark skin tone
🤵🏾‍♂	1F935 1F3FE 200D 2642	minimally-qualified	E13.0	man in tuxedo: medium-dark skin tone
🤵🏿‍♂️	1F935 1F3FF 200D 2642 FE0F	fully-qualified	E13.0	man in tuxedo: dark skin tone
🤵🏿‍♂	1F935 1F3FF 200D 2642	minimally-qualified	E13.0	man in tuxedo: dark skin tone
🤵‍♀️	1F935 200D 2640 FE0F	fully-qualified	E13.0	woman in tuxedo
🤵‍♀	1F935 200D 2640	minimally-qualified	E13.0	woman in tuxedo
🤵🏻‍♀️	1F935 1F3FB 200D 2640 FE0F	fully-qualified	E13.0	woman in tuxedo: light skin tone
🤵🏻‍♀	1F935 1F3FB 200D 2640	minimally-qualified	E13.0	woman in tuxedo: light skin tone
🤵🏼‍♀️	1F935 1F3FC 200D 2640 FE0F	fully-qualified	E13.0	woman in tuxedo: medium-light skin tone
🤵🏼‍♀	1F935 1F3FC 200D 2640	minimally-qualified	E13.0	woman in tuxedo: medium-light skin tone
🤵🏽‍♀️	1F935 1F3FD 200D 2640 FE0F	fully-qualified	E13.0	woman in tuxedo: medium skin tone
🤵🏽‍♀	1F935 1F3FD 200D 2640	minimally-qualified	E13.0	woman in tuxedo: medium skin tone
🤵🏾‍♀️	1F935 1F3FE 200D 2640 FE0F	fully-qualified	E13.0	woman in tuxedo: medium-dark skin tone
🤵🏾‍♀	1F935 1F3FE 200D 2640	minimally-qualified	E13.0	woman in tuxedo: medium-dark skin tone
🤵🏿‍♀️	1F935 1F3FF 200D 2640 FE0F	fully-qualified	E13.0	woman in tuxedo: dark skin tone
🤵🏿‍♀	1F935 1F3FF 200D 2640	minimally-qualified	E13.0	woman in tuxedo: dark skin tone
👰	1F470	fully-qualified	E0.6	person with veil
👰🏻	1F470 1F3FB	fully-qualified	E1.0	person with veil: light skin tone
👰🏼	1F470 1F3FC	fully-qualified	E1.0	person with veil: medium-light skin tone
👰🏽	1F470 1F3FD	fully-qualified	E1.0	person with veil: medium skin tone
👰🏾	1F470 1F3FE	fully-qualified	E1.0	person with veil: medium-dark skin tone
👰🏿	1F470 1F3FF	fully-qualified	E1.0	person with veil: dark skin tone
👰‍♂️	1F470 200D 2642 FE0F	fully-qualified	E13.0	man with veil
👰‍♂	1F470 200D 2642	minimally-qualified	E13.0	man with veil
👰🏻‍♂️	1F470 1F3FB 200D 2642 FE0F	fully-qualified	E13.0	man with veil: light skin tone
👰🏻‍♂	1F470 1F3FB 200D 2642	minimally-qualified	E13.0	man with veil: light skin tone
👰🏼‍♂️	1F470 1F3FC 200D 2642 FE0F	fully-qualified	E13.0	man with veil: medium-light skin tone
👰🏼‍♂	1F470 1F3FC 200D 2642	minimally-qualified	E13.0	man with veil: medium-light skin tone
👰🏽‍♂️	1F470 1F3FD 200D 2642 FE0F	fully-qualified	E13.0	man with veil: medium skin tone
👰🏽‍♂	1F470 1F3FD 200D 2642	minimally-qualified	E13.0	man with veil: medium skin tone
👰🏾‍♂️	1F470 1F3FE 200D 2642 FE0F	fully-qualified	E13.0	man with veil: medium-dark skin tone
👰🏾‍♂	1F470 1F3FE 200D 2642	minimally-qualified	E13.0	man with veil: medium-dark skin tone
👰🏿‍♂️	1F470 1F3FF 200D 2642 FE0F	fully-qualified	E13.0	man with veil: dark skin tone
👰🏿‍♂	1F470 1F3FF 200D 2642	minimally-qualified	E13.0	man with veil: dark skin tone
👰‍♀️	1F470 200D 2640 FE0F	fully-qualified	E13.0	woman with veil
👰‍♀	1F470 200D 2640	minimally-qualified	E13.0	woman with veil
👰🏻‍♀️	1F470 1F3FB 200D 2640 FE0F	fully-qualified	E13.0	woman with veil: light skin tone
👰🏻‍♀	1F470 1F3FB 200D 2640	minimally-qualified	E13.0	woman with veil: light skin tone
👰🏼‍♀️	1F470 1F3FC 200D 2640 FE0F	fully-qualified	E13.0	woman with veil: medium-light skin tone
👰🏼‍♀	1F470 1F3FC 200D 2640	minimally-qualified	E13.0	woman with veil: medium-light skin tone
👰🏽‍♀️	1F470 1F3FD 200D 2640 FE0F	fully-qualified	E13.0	woman with veil: medium skin tone
👰🏽‍♀	1F470 1F3FD 200D 2640	minimally-qualified	E13.0	woman with veil: medium skin tone
👰🏾‍♀️	1F470 1F3FE 200D 2640 FE0F	fully-qualified	E13.0	woman with veil: medium-dark skin tone
👰🏾‍♀	1F470 1F3FE 200D 2640	minimally-qualified	E13.0	woman with veil: medium-dark skin tone
👰🏿‍♀️	1F470 1F3FF 200D 2640 FE0F	fully-qualified	E13.0	woman with veil: dark skin tone
👰🏿‍♀	1F470 1F3FF 200D 2640	minimally-qualified	E13.0	woman with veil: dark skin tone
🤰	1F930	fully-qualified	E3.0	pregnant woman
🤰🏻	1F930 1F3FB	fully-qualified	E3.0	pregnant woman: light skin tone
🤰🏼	1F930 1F3FC	fully-qualified	E3.0	pregnant woman: medium-light skin tone
🤰🏽	1F930 1F3FD	fully-qualified	E3.0	pregnant woman: medium skin tone
🤰🏾	1F930 1F3FE	fully-qualified	E3.0	pregnant woman: medium-dark skin tone
🤰🏿	1F930 1F3FF	fully-qualified	E3.0	pregnant woman: dark skin tone
🫃	1FAC3	fully-qualified	E14.0	pregnant man
🫃🏻	1FAC3 1F3FB	fully-qualified	E14.0	pregnant man: light skin tone
🫃🏼	1FAC3 1F3FC	fully-qualified	E14.0	pregnant man: medium-light skin tone
🫃🏽	1FAC3 1F3FD	fully-qualified	E14.0	pregnant man: medium skin tone
🫃🏾	1FAC3 1F3FE	fully-qualified	E14.0	pregnant man: medium-dark skin tone
🫃🏿	1FAC3 1F3FF	fully-qualified	E14.0	pregnant man: dark skin tone
🫄	1FAC4	fully-qualified	E14.0	pregnant person
🫄🏻	1FAC4 1F3FB	fully-qualified	E14.0	pregnant person: light skin tone
🫄🏼	1FAC4 1F3FC	fully-qualified	E14.0	pregnant person: medium-light skin tone
🫄🏽	1FAC4 1F3FD	fully-qualified	E14.0	pregnant person: medium skin tone
🫄🏾	1FAC4 1F3FE	fully-qualified	E14.0	pregnant person: medium-dark skin tone
🫄🏿	1FAC4 1F3FF	fully-qualified	E14.0	pregnant person: dark skin tone
🤱	1F931	fully-qualified	E5.0	breast-feeding
🤱🏻	1F931 1F3FB	fully-qualified	E5.0	breast-feeding: light skin tone
🤱🏼	1F931 1F3FC	fully-qualified	E5.0	breast-feeding: medium-light skin tone
🤱🏽	1F931 1F3FD	fully-qualified	E5.0	breast-feeding: medium skin tone
🤱🏾	1F931 1F3FE	fully-qualified	E5.0	breast-feeding: medium-dark skin tone
🤱🏿	1F931 1F3FF	fully-qualified	E5.0	breast-feeding: dark skin tone
👩‍🍼	1F469 200D 1F37C	fully-qualified	E13.0	woman feeding baby
👩🏻‍🍼	1F469 1F3FB 200D 1F37C	fully-qualified	E13.0	woman feeding baby: light skin tone
👩🏼‍🍼	1F469 1F3FC 200D 1F37C	fully-qualified	E13.0	woman feeding baby: medium-light skin tone
👩🏽‍🍼	1F469 1F3FD 200D 1F37C	fully-qualified	E13.0	woman feeding baby: medium skin tone
👩🏾‍🍼	1F469 1F3FE 200D 1F37C	fully-qualified	E13.0	woman feeding baby: medium-dark skin tone
👩🏿‍🍼	1F469 1F3FF 200D 1F37C	fully-qualified	E13.0	woman feeding baby: dark skin tone
👨‍🍼	1F468 200D 1F37C	fully-qualified	E13.0	man feeding baby
👨🏻‍🍼	1F468 1F3FB 200D 1F37C	fully-qualified	E13.0	man feeding baby: light skin tone
👨🏼‍🍼	1F468 1F3FC 200D 1F37C	fully-qualified	E13.0	man feeding baby: medium-light skin tone
👨🏽‍🍼	1F468 1F3FD 200D 1F37C	fully-qualified	E13.0	man feeding baby: medium skin tone
👨🏾‍🍼	1F468 1F3FE 200D 1F37C	fully-qualified	E13.0	man feeding baby: medium-dark skin tone
👨🏿‍🍼	1F468 1F3FF 200D 1F37C	fully-qualified	E13.0	man feeding baby: dark skin tone
🧑‍🍼	1F9D1 200D 1F37C	fully-qualified	E13.0	person feeding baby
🧑🏻‍🍼	1F9D1 1F3FB 200D 1F37C	fully-qualified	E13.0	person feeding baby: light skin tone
🧑🏼‍🍼	1F9D1 1F3FC 200D 1F37C	fully-qualified	E13.0	person feeding baby: medium-light skin tone
🧑🏽‍🍼	1F9D1 1F3FD 200D 1F37C	fully-qualified	E13.0	person feeding baby: medium skin tone
🧑🏾‍🍼	1F9D1 1F3FE 200D 1F37C	fully-qualified	E13.0	person feeding baby: medium-dark skin tone
🧑🏿‍🍼	1F9D1 1F3FF 200D 1F37C	fully-qualified	E13.0	person feeding baby: dark skin tone
👼	1F47C	fully-qualified	E0.6	baby angel
👼🏻	1F47C 1F3FB	fully-qualified	E1.0	baby angel: light skin tone
👼🏼	1F47C 1F3FC	fully-qualified	E1.0	baby angel: medium-light skin tone
👼🏽	1F47C 1F3FD	fully-qualified	E1.0	baby angel: medium skin tone
👼🏾	1F47C 1F3FE	fully-qualified	E1.0	baby angel: medium-dark skin tone
👼🏿	1F47C 1F3FF	fully-qualified	E1.0	baby angel: dark skin tone
🎅	1F385	fully-qualified	E0.6	Santa Claus
🎅🏻	1F385 1F3FB	fully-qualified	E1.0	Santa Claus: light skin tone
🎅🏼	1F385 1F3FC	fully-qualified	E1.0	Santa Claus: medium-light skin tone
🎅🏽	1F385 1F3FD	fully-qualified	E1.0	Santa Claus: medium skin tone
🎅🏾	1F385 1F3FE	fully-qualified	E1.0	Santa Claus: medium-dark skin tone
🎅🏿	1F385 1F3FF	fully-qualified	E1.0	Santa Claus: dark skin tone
🤶	1F936	fully-qualified	E3.0	Mrs. Claus
🤶🏻	1F936 1F3FB	fully-qualified	E3.0	Mrs. Claus: light skin tone
🤶🏼	1F936 1F3FC	fully-qualified	E3.0	Mrs. Claus: medium-light skin tone
🤶🏽	1F936 1F3FD	fully-qualified	E3.0	Mrs. Claus: medium skin tone
🤶🏾	1F936 1F3FE	fully-qualified	E3.0	Mrs. Claus: medium-dark skin tone
🤶🏿	1F936 1F3FF	fully-qualified	E3.0	Mrs. Claus: dark skin tone
🧑‍🎄	1F9D1 200D 1F384	fully-qualified	E13.0	Mx Claus
🧑🏻‍🎄	1F9D1 1F3FB 200D 1F384	fully-qualified	E13.0	Mx Claus: light skin tone
🧑🏼‍🎄	1F9D1 1F3FC 200D 1F384	fully-qualified	E13.0	Mx Claus: medium-light skin tone
🧑🏽‍🎄	1F9D1 1F3FD 200D 1F384	fully-qualified	E13.0	Mx Claus: medium skin tone
🧑🏾‍🎄	1F9D1 1F3FE 200D 1F384	fully-qualified	E13.0	Mx Claus: medium-dark skin tone
🧑🏿‍🎄	1F9D1 1F3FF 200D 1F384	fully-qualified	E13.0	Mx Claus: dark skin tone
🦸	1F9B8	fully-qualified	E11.0	superhero
🦸🏻	1F9B8 1F3FB	fully-qualified	E11.0	superhero: light skin tone
🦸🏼	1F9B8 1F3FC	fully-qualified	E11.0	superhero: medium-light skin tone
🦸🏽	1F9B8 1F3FD	fully-qualified	E11.0	superhero: medium skin tone
🦸🏾	1F9B8 1F3FE	fully-qualified	E11.0	superhero: medium-dark skin tone
🦸🏿	1F9B8 1F3FF	fully-qualified	E11.0	superhero: dark skin tone
🦸‍♂️	1F9B8 200D 2642 FE0F	fully-qualified	E11.0	man superhero
🦸‍♂	1F9B8 200D 2642	minimally-qualified	E11.0	man superhero
🦸🏻‍♂️	1F9B8 1F3FB 200D 2642 FE0F	fully-qualified	E11.0	man superhero: light skin tone
🦸🏻‍♂	1F9B8 1F3FB 200D 2642	minimally-qualified	E11.0	man superhero: light skin tone
🦸🏼‍♂️	1F9B8 1F3FC 200D 2642 FE0F	fully-qualified	E11.0	man superhero: medium-light skin tone
🦸🏼‍♂	1F9B8 1F3FC 200D 2642	minimally-qualified	E11.0	man superhero: medium-light skin tone
🦸🏽‍♂️	1F9B8 1F3FD 200D 2642 FE0F	fully-qualified	E11.0	man superhero: medium skin tone
🦸🏽‍♂	1F9B8 1F3FD 200D 2642	minimally-qualified	E11.0	man superhero: medium skin tone
🦸🏾‍♂️	1F9B8 1F3FE 200D 2642 FE0F	fully-qualified	E11.0	man superhero: medium-dark skin tone
🦸🏾‍♂	1F9B8 1F3FE 200D 2642	minimally-qualified	E11.0	man superhero: medium-dark skin tone
🦸🏿‍♂️	1F9B8 1F3FF 200D 2642 FE0F	fully-qualified	E11.0	man superhero: dark skin tone
🦸🏿‍♂	1F9B8 1F3FF 200D 2642	minimally-qualified	E11.0	man superhero: dark skin tone
🦸‍♀️	1F9B8 200D 2640 FE0F	fully-qualified	E11.0	woman superhero
🦸‍♀	1F9B8 200D 2640	minimally-qualified	E11.0	woman superhero
🦸🏻‍♀️	1F9B8 1F3FB 200D 2640 FE0F	fully-qualified	E11.0	woman superhero: light skin tone
🦸🏻‍♀	1F9B8 1F3FB 200D 2640	minimally-qualified	E11.0	woman superhero: light skin tone
🦸🏼‍♀️	1F9B8 1F3FC 200D 2640 FE0F	fully-qualified	E11.0	woman superhero: medium-light skin tone
🦸🏼‍♀	1F9B8 1F3FC 200D 2640	minimally-qualified	E11.0	woman superhero: medium-light skin tone
🦸🏽‍♀️	1F9B8 1F3FD 200D 2640 FE0F	fully-qualified	E11.0	woman superhero: medium skin tone
🦸🏽‍♀	1F9B8 1F3FD 200D 2640	minimally-qualified	E11.0	woman superhero: medium skin tone
🦸🏾‍♀️	1F9B8 1F3FE 200D 2640 FE0F	fully-qualified	E11.0	woman superhero: medium-dark skin tone
🦸🏾‍♀	1F9B8 1F3FE 200D 2640	minimally-qualified	E11.0	woman superhero: medium-dark skin tone
🦸🏿‍♀️	1F9B8 1F3FF 200D 2640 FE0F	fully-qualified	E11.0	woman superhero: dark skin tone
🦸🏿‍♀	1F9B8 1F3FF 200D 2640	minimally-qualified	E11.0	woman superhero: dark skin tone
🦹	1F9B9	fully-qualified	E11.0	supervillain
🦹🏻	1F9B9 1F3FB	fully-qualified	E11.0	supervillain: light skin tone
🦹🏼	1F9B9 1F3FC	fully-qualified	E11.0	supervillain: medium-light skin tone
🦹🏽	1F9B9 1F3FD	fully-qualified	E11.0	supervillain: medium skin tone
🦹🏾	1F9B9 1F3FE	fully-qualified	E11.0	supervillain: medium-dark skin tone
🦹🏿	1F9B9 1F3FF	fully-qualified	E11.0	supervillain: dark skin tone
🦹‍♂️	1F9B9 200D 2642 FE0F	fully-qualified	E11.0	man supervillain
🦹‍♂	1F9B9 200D 2642	minimally-qualified	E11.0	man supervillain
🦹🏻‍♂️	1F9B9 1F3FB 200D 2642 FE0F	fully-qualified	E11.0	man supervillain: light skin tone
🦹🏻‍♂	1F9B9 1F3FB 200D 2642	minimally-qualified	E11.0	man supervillain: light skin tone
🦹🏼‍♂️	1F9B9 1F3FC 200D 2642 FE0F	fully-qualified	E11.0	man supervillain: medium-light skin tone
🦹🏼‍♂	1F9B9 1F3FC 200D 2642	minimally-qualified	E11.0	man supervillain: medium-light skin tone
🦹🏽‍♂️	1F9B9 1F3FD 200D 2642 FE0F	fully-qualified	E11.0	man supervillain: medium skin tone
🦹🏽‍♂	1F9B9 1F3FD 200D 2642	minimally-qualified	E11.0	man supervillain: medium skin tone
🦹🏾‍♂️	1F9B9 1F3FE 200D 2642 FE0F	fully-qualified	E11.0	man supervillain: medium-dark skin tone
🦹🏾‍♂	1F9B9 1F3FE 200D 2642	minimally-qualified	E11.0	man supervillain: medium-dark skin tone
🦹🏿‍♂️	1F9B9 1F3FF 200D 2642 FE0F	fully-qualified	E11.0	man supervillain: dark skin tone
🦹🏿‍♂	1F9B9 1F3FF 200D 2642	minimally-qualified	E11.0	man supervillain: dark skin tone
🦹‍♀️	1F9B9 200D 2640 FE0F	fully-qualified	E11.0	woman supervillain
🦹‍♀	1F9B9 200D 2640	minimally-qualified	E11.0	woman supervillain
🦹🏻‍♀️	1F9B9 1F3FB 200D 2640 FE0F	fully-qualified	E11.0	woman supervillain: light skin tone
🦹🏻‍♀	1F9B9 1F3FB 200D 2640	minimally-qualified	E11.0	woman supervillain: light skin tone
🦹🏼‍♀️	1F9B9 1F3FC 200D 2640 FE0F	fully-qualified	E11.0	woman supervillain: medium-light skin tone
🦹🏼‍♀	1F9B9 1F3FC 200D 2640	minimally-qualified	E11.0	woman supervillain: medium-light skin tone
🦹🏽‍♀️	1F9B9 1F3FD 200D 2640 FE0F	fully-qualified	E11.0	woman supervillain: medium skin tone
🦹🏽‍♀	1F9B9 1F3FD 200D 2640	minimally-qualified	E11.0	woman supervillain: medium skin tone
🦹🏾‍♀️	1F9B9 1F3FE 200D 2640 FE0F	fully-qualified	E11.0	woman supervillain: medium-dark skin tone
🦹🏾‍♀	1F9B9 1F3FE 200D 2640	minimally-qualified	E11.0	woman supervillain: medium-dark skin tone
🦹🏿‍♀️	1F9B9 1F3FF 200D 2640 FE0F	fully-qualified	E11.0	woman supervillain: dark skin tone
🦹🏿‍♀	1F9B9 1F3FF 200D 2640	minimally-qualified	E11.0	woman supervillain: dark skin tone
🧙	1F9D9	fully-qualified	E5.0	mage
🧙🏻	1F9D9 1F3FB	fully-qualified	E5.0	mage: light skin tone
🧙🏼	1F9D9 1F3FC	fully-qualified	E5.0	mage: medium-light skin tone
🧙🏽	1F9D9 1F3FD	fully-qualified	E5.0	mage: medium skin tone
🧙🏾	1F9D9 1F3FE	fully-qualified	E5.0	mage: medium-dark skin tone
🧙🏿	1F9D9 1F3FF	fully-qualified	E5.0	mage: dark skin tone
🧙‍♂️	1F9D9 200D 2642 FE0F	fully-qualified	E5.0	man mage
🧙‍♂	1F9D9 200D 2642	minimally-qualified	E5.0	man mage
🧙🏻‍♂️	1F9D9 1F3FB 200D 2642 FE0F	fully-qualified	E5.0	man mage: light skin tone
🧙🏻‍♂	1F9D9 1F3FB 200D 2642	minimally-qualified	E5.0	man mage: light skin tone
🧙🏼‍♂️	1F9D9 1F3FC 200D 2642 FE0F	fully-qualified	E5.0	man mage: medium-light skin tone
🧙🏼‍♂	1F9D9 1F3FC 200D 2642	minimally-qualified	E5.0	man mage: medium-light skin tone
🧙🏽‍♂️	1F9D9 1F3FD 200D 2642 FE0F	fully-qualified	E5.0	man mage: medium skin tone
🧙🏽‍♂	1F9D9 1F3FD 200D 2642	minimally-qualified	E5.0	man mage: medium skin tone
🧙🏾‍♂️	1F9D9 1F3FE 200D 2642 FE0F	fully-qualified	E5.0	man mage: medium-dark skin tone
🧙🏾‍♂	1F9D9 1F3FE 200D 2642	minimally-qualified	E5.0	man mage: medium-dark skin tone
🧙🏿‍♂️	1F9D9 1F3FF 200D 2642 FE0F	fully-qualified	E5.0	man mage: dark skin tone
🧙🏿‍♂	1F9D9 1F3FF 200D 2642	minimally-qualified	E5.0	man mage: dark skin tone
🧙‍♀️	1F9D9 200D 2640 FE0F	fully-qualified	E5.0	woman mage
🧙‍♀	1F9D9 200D 2640	minimally-qualified	E5.0	woman mage
🧙🏻‍♀️	1F9D9 1F3FB 200D 2640 FE0F	fully-qualified	E5.0	woman mage: light skin tone
🧙🏻‍♀	1F9D9 1F3FB 200D 2640	minimally-qualified	E5.0	woman mage: light skin tone
🧙🏼‍♀️	1F9D9 1F3FC 200D 2640 FE0F	fully-qualified	E5.0	woman mage: medium-light skin tone
🧙🏼‍♀	1F9D9 1F3FC 200D 2640	minimally-qualified	E5.0	woman mage: medium-light skin tone
🧙🏽‍♀️	1F9D9 1F3FD 200D 2640 FE0F	fully-qualified	E5.0	woman mage: medium skin tone
🧙🏽‍♀	1F9D9 1F3FD 200D 2640	minimally-qualified	E5.0	woman mage: medium skin tone
🧙🏾‍♀️	1F9D9 1F3FE 200D 2640 FE0F	fully-qualified	E5.0	woman mage: medium-dark skin tone
🧙🏾‍♀	1F9D9 1F3FE 200D 2640	minimally-qualified	E5.0	woman mage: medium-dark skin tone
🧙🏿‍♀️	1F9D9 1F3FF 200D 2640 FE0F	fully-qualified	E5.0	woman mage: dark skin tone
🧙🏿‍♀	1F9D9 1F3FF 200D 2640	minimally-qualified	E5.0	woman mage: dark skin tone
🧚	1F9DA	fully-qualified	E5.0	fairy
🧚🏻	1F9DA 1F3FB	fully-qualified	E5.0	fairy: light skin tone
🧚🏼	1F9DA 1F3FC	fully-qualified	E5.0	fairy: medium-light skin tone
🧚🏽	1F9DA 1F3FD	fully-qualified	E5.0	fairy: medium skin tone
🧚🏾	1F9DA 1F3FE	fully-qualified	E5.0	fairy: medium-dark skin tone
🧚🏿	1F9DA 1F3FF	fully-qualified	E5.0	fairy: dark skin tone
🧚‍♂️	1F9DA 200D 2642 FE0F	fully-qualified	E5.0	man fairy
🧚‍♂	1F9DA 200D 2642	minimally-qualified	E5.0	man fairy
🧚🏻‍♂️	1F9DA 1F3FB 200D 2642 FE0F	fully-qualified	E5.0	man fairy: light skin tone
🧚🏻‍♂	1F9DA 1F3FB 200D 2642	minimally-qualified	E5.0	man fairy: light skin tone
🧚🏼‍♂️	1F9DA 1F3FC 200D 2642 FE0F	fully-qualified	E5.0	man fairy: medium-light skin tone
🧚🏼‍♂	1F9DA 1F3FC 200D 2642	minimally-qualified	E5.0	man fairy: medium-light skin tone
🧚🏽‍♂️	1F9DA 1F3FD 200D 2642 FE0F	fully-qualified	E5.0	man fairy: medium skin tone
🧚🏽‍♂	1F9DA 1F3FD 200D 2642	minimally-qualified	E5.0	man fairy: medium skin tone
🧚🏾‍♂️	1F9DA 1F3FE 200D 2642 FE0F	fully-qualified	E5.0	man fairy: medium-dark skin tone
🧚🏾‍♂	1F9DA 1F3FE 200D 2642	minimally-qualified	E5.0	man fairy: medium-dark skin tone
🧚🏿‍♂️	1F9DA 1F3FF 200D 2642 FE0F	fully-qualified	E5.0	man fairy: dark skin tone
🧚🏿‍♂	1F9DA 1F3FF 200D 2642	minimally-qualified	E5.0	man fairy: dark skin tone
🧚‍♀️	1F9DA 200D 2640 FE0F	fully-qualified	E5.0	woman fairy
🧚‍♀	1F9DA 200D 2640	minimally-qualified	E5.0	woman fairy
🧚🏻‍♀️	1F9DA 1F3FB 200D 2640 FE0F	fully-qualified	E5.0	woman fairy: light skin tone
🧚🏻‍♀	1F9DA 1F3FB 200D 2640	minimally-qualified	E5.0	woman fairy: light skin tone
🧚🏼‍♀️	1F9DA 1F3FC 200D 2640 FE0F	fully-qualified	E5.0	woman fairy: medium-light skin tone
🧚🏼‍♀	1F9DA 1F3FC 200D 2640	minimally-qualified	E5.0	woman fairy: medium-light skin tone
🧚🏽‍♀️	1F9DA 1F3FD 200D 2640 FE0F	fully-qualified	E5.0	woman fairy: medium skin tone
🧚🏽‍♀	1F9DA 1F3FD 200D 2640	minimally-qualified	E5.0	woman fairy: medium skin tone
🧚🏾‍♀️	1F9DA 1F3FE 200D 2640 FE0F	fully-qualified	E5.0	woman fairy: medium-dark skin tone
🧚🏾‍♀	1F9DA 1F3FE 200D 2640	minimally-qualified	E5.0	woman fairy: medium-dark skin tone
🧚🏿‍♀️	1F9DA 1F3FF 200D 2640 FE0F	fully-qualified	E5.0	woman fairy: dark skin tone
🧚🏿‍♀	1F9DA 1F3FF 200D 2640	minimally-qualified	E5.0	woman fairy: dark skin tone
🧛	1F9DB	fully-qualified	E5.0	vampire
🧛🏻	1F9DB 1F3FB	fully-qualified	E5.0	vampire: light skin tone
🧛🏼	1F9DB 1F3FC	fully-qualified	E5.0	vampire: medium-light skin tone
🧛🏽	1F9DB 1F3FD	fully-qualified	E5.0	vampire: medium skin tone
🧛🏾	1F9DB 1F3FE	fully-qualified	E5.0	vampire: medium-dark skin tone
🧛🏿	1F9DB 1F3FF	fully-qualified	E5.0	vampire: dark skin tone
🧛‍♂️	1F9DB 200D 2642 FE0F	fully-qualified	E5.0	man vampire
🧛‍♂	1F9DB 200D 2642	minimally-qualified	E5.0	man vampire
🧛🏻‍♂️	1F9DB 1F3FB 200D 2642 FE0F	fully-qualified	E5.0	man vampire: light skin tone
🧛🏻‍♂	1F9DB 1F3FB 200D 2642	minimally-qualified	E5.0	man vampire: light skin tone
🧛🏼‍♂️	1F9DB 1F3FC 200D 2642 FE0F	fully-qualified	E5.0	man vampire: medium-light skin tone
🧛🏼‍♂	1F9DB 1F3FC 200D 2642	minimally-qualified	E5.0	man vampire: medium-light skin tone
🧛🏽‍♂️	1F9DB 1F3FD 200D 2642 FE0F	fully-qualified	E5.0	man vampire: medium skin tone
🧛🏽‍♂	1F9DB 1F3FD 200D 2642	minimally-qualified	E5.0	man vampire: medium skin tone
🧛🏾‍♂️	1F9DB 1F3FE 200D 2642 FE0F	fully-qualified	E5.0	man vampire: medium-dark skin tone
🧛🏾‍♂	1F9DB 1F3FE 200D 2642	minimally-qualified	E5.0	man vampire: medium-dark skin tone
🧛🏿‍♂️	1F9DB 1F3FF 200D 2642 FE0F	fully-qualified	E5.0	man vampire: dark skin tone
🧛🏿‍♂	1F9DB 1F3FF 200D 2642	minimally-qualified	E5.0	man vampire: dark skin tone
🧛‍♀️	1F9DB 200D 2640 FE0F	fully-qualified	E5.0	woman vampire
🧛‍♀	1F9DB 200D 2640	minimally-qualified	E5.0	woman vampire
🧛🏻‍♀️	1F9DB 1F3FB 200D 2640 FE0F	fully-qualified	E5.0	woman vampire: light skin tone
🧛🏻‍♀	1F9DB 1F3FB 200D 2640	minimally-qualified	E5.0	woman vampire: light skin tone
🧛🏼‍♀️	1F9DB 1F3FC 200D 2640 FE0F	fully-qualified	E5.0	woman vampire: medium-light skin tone
🧛🏼‍♀	1F9DB 1F3FC 200D 2640	minimally-qualified	E5.0	woman vampire: medium-light skin tone
🧛🏽‍♀️	1F9DB 1F3FD 200D 2640 FE0F	fully-qualified	E5.0	woman vampire: medium skin tone
🧛🏽‍♀	1F9DB 1F3FD 200D 2640	minimally-qualified	E5.0	woman vampire: medium skin tone
🧛🏾‍♀️	1F9DB 1F3FE 200D 2640 FE0F	fully-qualified	E5.0	woman vampire: medium-dark skin tone
🧛🏾‍♀	1F9DB 1F3FE 200D 2640	minimally-qualified	E5.0	woman vampire: medium-dark skin tone
🧛🏿‍♀️	1F9DB 1F3FF 200D 2640 FE0F	fully-qualified	E5.0	woman vampire: dark skin tone
🧛🏿‍♀	1F9DB 1F3FF 200D 2640	minimally-qualified	E5.0	woman vampire: dark skin tone
🧜	1F9DC	fully-qualified	E5.0	merperson
🧜🏻	1F9DC 1F3FB	fully-qualified	E5.0	merperson: light skin tone
